,date,^spx_zamkniecie,aapl.us_zamkniecie,mcd.us_zamkniecie,msft.us_zamkniecie
0,2000-01-03,1455.22,0.851702,28.1546,41.0875
1,2000-01-04,1399.42,0.780021,27.5734,39.7047
2,2000-01-05,1402.11,0.791386,28.0229,40.1206
3,2000-01-06,1403.45,0.722995,27.6128,38.7774
4,2000-01-07,1441.47,0.757589,28.3307,39.2808
5,2000-01-10,1457.6,0.744031,28.4655,39.5697
6,2000-01-11,1438.56,0.705947,29.1392,38.554
7,2000-01-12,1432.25,0.663676,30.3873,37.3002
8,2000-01-13,1449.68,0.736353,30.0736,38.006
9,2000-01-14,1465.15,0.764368,30.2526,39.5697
10,2000-01-18,1455.14,0.790788,29.4942,40.6459
11,2000-01-19,1455.9,0.811125,30.1168,37.7151
12,2000-01-20,1445.57,0.863865,30.2526,37.3647
13,2000-01-21,1441.36,0.847216,29.1796,36.5685
14,2000-01-24,1401.53,0.808634,28.0651,35.6909
15,2000-01-25,1410.03,0.854095,28.2875,36.239
16,2000-01-26,1404.09,0.838642,25.3841,35.0307
17,2000-01-27,1398.56,0.837146,26.7276,34.8073
18,2000-01-28,1360.16,0.773541,26.098,34.6396
19,2000-01-31,1394.46,0.789591,26.5407,34.5046
20,2000-02-01,1409.28,0.762874,26.0115,36.2846
21,2000-02-02,1409.12,0.751907,25.2051,35.5399
22,2000-02-03,1424.97,0.786302,24.8461,36.5307
23,2000-02-04,1424.37,0.822192,24.9414,37.5672
24,2000-02-07,1424.24,0.868252,24.8048,37.5821
25,2000-02-08,1441.72,0.874432,25.7844,38.7526
26,2000-02-09,1411.71,0.857185,25.4687,36.6629
27,2000-02-10,1416.83,0.863865,25.2051,37.3647
28,2000-02-11,1387.12,0.827875,24.8048,35.2272
29,2000-02-14,1389.94,0.881412,24.0396,35.1151
30,2000-02-15,1402.05,0.905538,23.953,34.7488
31,2000-02-16,1387.67,0.868551,23.7317,34.4132
32,2000-02-17,1388.26,0.874432,23.953,35.1151
33,2000-02-18,1346.09,0.846618,23.1032,33.5158
34,2000-02-22,1352.17,0.866058,22.9666,33.073
35,2000-02-23,1360.69,0.884801,23.1957,33.2219
36,2000-02-24,1353.43,0.876825,22.3006,33.4016
37,2000-02-25,1333.36,0.839938,22.0272,32.1845
38,2000-02-28,1348.05,0.861771,22.1226,32.2797
39,2000-02-29,1366.42,0.872638,22.5662,31.5004
40,2000-03-01,1379.19,0.991675,22.2073,32.0118
41,2000-03-02,1381.76,0.928568,21.9466,32.9161
42,2000-03-03,1409.17,0.974228,22.9666,33.8801
43,2000-03-06,1391.28,0.956682,22.4394,31.9462
44,2000-03-07,1355.62,0.935148,21.2285,32.7414
45,2000-03-08,1366.7,0.928568,21.8483,33.6856
46,2000-03-09,1401.69,0.930263,22.7442,35.2512
